Temp Irradiance TheoV PredV TheoP PreP
308.25 17.0 0.42 0.442113334849989 0.0532204249839 0.05130751479728343
300.75 8.0 0.391 0.43991672092609097 0.0232784692011 0.016385867926843184
298.65 10.0 0.394 0.43916028573137184 0.0293195673889 0.022234053205460052
298.55 16.0 0.405 0.43885584890755497 0.0483290862427 0.043182731115775086
298.35 23.0 0.413 0.43883531240710394 0.0710182841541 0.06741283684568346
298.05 31.0 0.42 0.4390145789094632 0.097389700121 0.09498807718641696
298.45 36.0 0.424 0.43929495632317367 0.114278115105 0.1126276551927017
298.35 58.0 0.436 0.441108103530377 0.189344254923 0.18904398648087836
298.35 66.0 0.439 0.44179702153137795 0.21709423534 0.21699449104934318
298.25 64.0 0.438 0.44151965745315663 0.210068351495 0.20992589201661935
298.05 72.0 0.44 0.4421466832182833 0.237788336929 0.23775749169363355
298.15 123.0 0.454 0.4470645101716731 0.418978516161 0.41819443607401086
298.55 142.0 0.458 0.4491491191020302 0.488266077114 0.4867562625076598
298.75 170.0 0.462 0.45200806932877347 0.590815814921 0.5882198698921357
298.75 186.0 0.465 0.4536244093514183 0.6496378713 0.6465010941186697
298.75 202.0 0.467 0.45524317564172245 0.708727347376 0.7050928203974046
298.65 195.0 0.466 0.45462405835407127 0.682615553217 0.6793302716734964
298.65 249.0 0.471 0.45985276416182275 0.883354316007 0.8786386213532148
298.75 268.0 0.473 0.46176573923942865 0.954873124262 0.9497699648730042
298.75 290.0 0.475 0.46391861632879033 1.037666552 1.0323449594913052
298.55 305.0 0.476 0.4653312023498313 1.09357137304 1.088419053623803
298.75 323.0 0.478 0.46716079636663743 1.16245701734 1.1571064005369527
298.75 340.0 0.479 0.46882204035366487 1.2269952605 1.2217601618781264
298.55 357.0 0.48 0.4704136129683846 1.29083864514 1.286031698074226
298.15 380.0 0.481 0.4725100673342508 1.37672400162 1.3727500104740835
298.55 395.0 0.483 0.4740926778396417 1.43592115102 1.431803090633754
298.25 411.0 0.483 0.4755553384551638 1.49573618015 1.4923313483595861
298.35 405.0 0.483 0.4750520005759137 1.4732471116 1.4696276376097321
298.45 161.0 0.461 0.4520521823084989 0.557292555213 0.5555856317905141
298.65 198.0 0.466 0.45567831812502657 0.693704901741 0.6907419624734296
297.95 188.0 0.464 0.45462743885494633 0.655250983521 0.6530698330694609
